%PRODUCTID,%SKU,amz:prod_cloth_cd_colormap,zoovy:prod_name,zoovy:prod_ugenre,zoovy:prod_type,zoovy:prod_color,zoovy:prod_brand,%SAFESKU,%CATEGORY
A49-00,A49-00,,"Atari Rasta Rainbow Canvas Video Game Web Belt",,,silver,Atari,A49-00,
A130,A130,,"Bela Lugosi Classic Monster Movies Dracula Belt Buckle",,,silver,2Bhip,A130,
A56-00,A56-00,Black,"Adventure Time Finn Face Cartoon Belt Buckle",,,silver,Bioworld,A56-00,
A136,A136,,"The Muppets Jim Henson Animal Face Cartoon TV Show Belt Buckle",,,silver,"The Muppets",A136,
A6-00,A6-00,,"Sonic The Hedgehog SEGA Attitude Pose Video Game Belt Buckle",,,silver,SEGA,A6-00,
A51-00,A51-00,,"Super Mario Bros Nintendo Classic Video Game Belt Buckle",,,silver,Nintendo,A51-00,
A55-00,A55-00,,"Nightmare On Elm Street Freddy Krueger Claw Reflective Metal Belt Buckle",,,silver,"Nightmare On Elm Street",A55-00,
A29,A29,,"Last Supper Belt Buckle Leonardo Da Vinci Art Work",,,silver,2BhipBuckles,A29,
A141-DC,A141-DC,,"Sparkly Design Belt Buckle",,,silver,2Bhip,A141-DC,
A52-00,A52-00,,"Star Wars Return Of The Jedi Metal Belt Buckle",,,silver,"Star Wars",A52-00,
A131,A131,,"C3PO Star Wars Reflective Metal Belt Buckle",,,silver,"Star Wars",A131,
A100-00,A100-00,Multi,"Scooby-Doo Mystery Machine Cartoon Belt Buckle",,,silver,Bioworld,A100-00,
A34-00,A34-00,,"Star Trek Die Cut Trekkie Reflective Belt Buckle",adult,,silver,"Star Trek",A34-00,
A21-00,A21-00,Green,"DC Comics Green Lantern Symbol Superhero Belt Buckle",,,silver,Bioworld,A21-00,
A125,A125,,"R2D2 Star Wars Trilogy Belt Buckle",,,silver,"Star Wars",A125,
A7-00,A7-00,,"Nintendo Legend Of Zelda Hyrule Triforce Crest Reflective Belt Buckle",,,silver,Nintendo,A7-00,
A102-00,A102-00,Yellow,"SpongeBob SquarePants Big Face Cartoon Belt Buckle",,,silver,Bioworld,A102-00,
A53,A53,,"Jesus Belt Buckle",,,silver,2BhipBuckles,A53,
A10-00,A10-00,,"G.I. Joe Real American Hero Reflective Belt Buckle",,,silver,"G.I. Joe",A10-00,
A111-00,A111-00,Red,"DC Comics Superman Logo Superhero Belt Buckle",,,silver,Bioworld,A111-00,
A133,A133,,"Super Mario Bros Mushroom Nintendo Video Game Belt Buckle",,,silver,"Super Mario Bros.",A133,
A38,A38,,"Superman Belt Buckle DC Comics ",,,silver,Superman,A38,
A17,A17,,"Che Guevara Belt Buckle",,,silver,"Che Guevara",A17,
A46-00,A46-00,,"Pac Man Pinky Ghost Namco Arcade Game Belt Buckle",,,silver,Namco,A46-00,
A15-00,A15-00,,"Sesame Street Elmo Head Reflective Belt Buckle",,,silver,"Sesame Street ",A15-00,
