%SAFE,%PRETTY,URL
.beer-alcohol,!Beer/Alcohol,www.2bhip.com/category/beer-alcohol/
.beer-alcohol.budweiser,Budweiser,www.2bhip.com/category/beer-alcohol.budweiser/
.beer-alcohol.captain-morgan,Captain Morgan,www.2bhip.com/category/beer-alcohol.captain-morgan/
.beer-alcohol.coors,Coors,www.2bhip.com/category/beer-alcohol.coors/
.beer-alcohol.corona,Corona,www.2bhip.com/category/beer-alcohol.corona/
.beer-alcohol.fosters,Fosters,www.2bhip.com/category/beer-alcohol.fosters/
.beer-alcohol.guinness,Guinness,www.2bhip.com/category/beer-alcohol.guinness/
.beer-alcohol.merlot,Merlot,www.2bhip.com/category/beer-alcohol.merlot/
.beer-alcohol.mickey-s,Mickey's,www.2bhip.com/category/beer-alcohol.mickey-s/
.beer-alcohol.miller,Miller,www.2bhip.com/category/beer-alcohol.miller/
.beer-alcohol.olde-english,Olde English,www.2bhip.com/category/beer-alcohol.olde-english/
.beer-alcohol.red-stripe,Red Stripe,www.2bhip.com/category/beer-alcohol.red-stripe/
.beer-alcohol.sailor-jerry,Sailor Jerry,www.2bhip.com/category/beer-alcohol.sailor-jerry/
.brands,!Brands,www.2bhip.com/category/brands/
.brands.junk-food,Junk Food,www.2bhip.com/category/brands.junk-food/
.brands.life-clothing,Life Clothing,www.2bhip.com/category/brands.life-clothing/
.brands.lucky-13,Lucky 13,www.2bhip.com/category/brands.lucky-13/
.brands.mighty-fine,Mighty Fine,www.2bhip.com/category/brands.mighty-fine/
.brands.ripple-junction,Ripple Junction,www.2bhip.com/category/brands.ripple-junction/
.brands.sailor-jerry,Sailor Jerry,www.2bhip.com/category/brands.sailor-jerry/
.cartoons,!Cartoons,www.2bhip.com/category/cartoons/
.cartoons.adventure-time,Adventure Time,www.2bhip.com/category/cartoons.adventure-time/
.cartoons.alice-in-wonderland,Alice In Wonderland,www.2bhip.com/category/cartoons.alice-in-wonderland/
.cartoons.almost-naked-animals,Almost Naked Animals,www.2bhip.com/category/cartoons.almost-naked-animals/
.cartoons.animaniacs,Animaniacs,www.2bhip.com/category/cartoons.animaniacs/
.cartoons.bambi,Bambi,www.2bhip.com/category/cartoons.bambi/
.cartoons.batman,Batman,www.2bhip.com/category/cartoons.batman/
.cartoons.beavis-and-butthead,Beavis & Butthead,www.2bhip.com/category/cartoons.beavis-and-butthead/
.cartoons.betty-boop,Betty Boop,www.2bhip.com/category/cartoons.betty-boop/
.cartoons.black-butler,Black Butler,www.2bhip.com/category/cartoons.black-butler/
.cartoons.care-bears,Care Bears,www.2bhip.com/category/cartoons.care-bears/
.cartoons.courage-the-cowardly-dog,Courage The Cowardly Dog,www.2bhip.com/category/cartoons.courage-the-cowardly-dog/
.cartoons.cow-and-chicken,Cow And Chicken,www.2bhip.com/category/cartoons.cow-and-chicken/
.cartoons.curious-george,Curious George,www.2bhip.com/category/cartoons.curious-george/
.cartoons.dethklok,Dethklok,www.2bhip.com/category/cartoons.dethklok/
.cartoons.dexter-s-laboratory,Dexter's Laboratory,www.2bhip.com/category/cartoons.dexter-s-laboratory/
.cartoons.dinosaur-train,Dinosaur Train,www.2bhip.com/category/cartoons.dinosaur-train/
.cartoons.disney,Disney,www.2bhip.com/category/cartoons.disney/
.cartoons.domo,Domo,www.2bhip.com/category/cartoons.domo/
.cartoons.dr--seuss,Dr. Seuss,www.2bhip.com/category/cartoons.dr--seuss/
.cartoons.dragonball-z,Dragonball Z,www.2bhip.com/category/cartoons.dragonball-z/
.cartoons.ed--edd-n-eddy,"Ed, Edd n Eddy",www.2bhip.com/category/cartoons.ed--edd-n-eddy/
.cartoons.family-guy,Family Guy,www.2bhip.com/category/cartoons.family-guy/
.cartoons.felix-the-cat,Felix the Cat,www.2bhip.com/category/cartoons.felix-the-cat/
.cartoons.foster-s-home-for-imaginary-friends,Foster's Home For Imaginary Friends,www.2bhip.com/category/cartoons.foster-s-home-for-imaginary-friends/
.cartoons.g-i--joe,G.I. Joe,www.2bhip.com/category/cartoons.g-i--joe/
.cartoons.garfield,Garfield,www.2bhip.com/category/cartoons.garfield/
.cartoons.gumby,Gumby,www.2bhip.com/category/cartoons.gumby/
.cartoons.he-man,He Man,www.2bhip.com/category/cartoons.he-man/
.cartoons.hello-kitty,Hello Kitty,www.2bhip.com/category/cartoons.hello-kitty/
.cartoons.i-am-weasel,I Am Weasel,www.2bhip.com/category/cartoons.i-am-weasel/
.cartoons.jem,Jem,www.2bhip.com/category/cartoons.jem/
.cartoons.jetsons--the,"Jetsons, The",www.2bhip.com/category/cartoons.jetsons--the/
.cartoons.johnny-bravo,Johnny Bravo,www.2bhip.com/category/cartoons.johnny-bravo/
.cartoons.kawaii-not,Kawaii Not,www.2bhip.com/category/cartoons.kawaii-not/
.cartoons.king-of-the-hill,King of the Hill,www.2bhip.com/category/cartoons.king-of-the-hill/
.cartoons.looney-tunes,Looney Tunes,www.2bhip.com/category/cartoons.looney-tunes/
.cartoons.marvin-the-martian,Marvin the Martian,www.2bhip.com/category/cartoons.marvin-the-martian/
.cartoons.masters-of-the-universe,Masters Of The Universe,www.2bhip.com/category/cartoons.masters-of-the-universe/
.cartoons.mickey,Mickey,www.2bhip.com/category/cartoons.mickey/
.cartoons.mighty-morphin-power-rangers,Mighty Morphin Power Rangers,www.2bhip.com/category/cartoons.mighty-morphin-power-rangers/
.cartoons.mighty-mouse,Mighty Mouse,www.2bhip.com/category/cartoons.mighty-mouse/
.cartoons.muppets--the,"Muppets, The",www.2bhip.com/category/cartoons.muppets--the/
.cartoons.my-little-pony,My Little Pony,www.2bhip.com/category/cartoons.my-little-pony/
.cartoons.naruto,Naruto,www.2bhip.com/category/cartoons.naruto/
.cartoons.peanuts,Peanuts,www.2bhip.com/category/cartoons.peanuts/
.cartoons.phineas-and-ferb,Phineas And Ferb,www.2bhip.com/category/cartoons.phineas-and-ferb/
.cartoons.pink-panther-show--the,"Pink Panther Show, The",www.2bhip.com/category/cartoons.pink-panther-show--the/
.cartoons.pinky-and-the-brain,Pinky And The Brain,www.2bhip.com/category/cartoons.pinky-and-the-brain/
.cartoons.popeye,Popeye,www.2bhip.com/category/cartoons.popeye/
.cartoons.powerpuff-girls--the,"Powerpuff Girls, The",www.2bhip.com/category/cartoons.powerpuff-girls--the/
.cartoons.rainbow-brite,Rainbow Brite,www.2bhip.com/category/cartoons.rainbow-brite/
.cartoons.regular-show,Regular Show,www.2bhip.com/category/cartoons.regular-show/
.cartoons.samurai-jack,Samurai Jack,www.2bhip.com/category/cartoons.samurai-jack/
.cartoons.schoolhouse-rock,Schoolhouse Rock,www.2bhip.com/category/cartoons.schoolhouse-rock/
.cartoons.scooby-doo,Scooby Doo,www.2bhip.com/category/cartoons.scooby-doo/
.cartoons.sesame-street,Sesame Street,www.2bhip.com/category/cartoons.sesame-street/
.cartoons.simpsons,Simpsons,www.2bhip.com/category/cartoons.simpsons/
.cartoons.smurfs,Smurfs,www.2bhip.com/category/cartoons.smurfs/
.cartoons.south-park,South Park,www.2bhip.com/category/cartoons.south-park/
.cartoons.speed-racer,Speed Racer,www.2bhip.com/category/cartoons.speed-racer/
.cartoons.spongebob-squarepants,Spongebob Squarepants,www.2bhip.com/category/cartoons.spongebob-squarepants/
.cartoons.star-trek-the-animated-series,Star Trek The Animated Series,www.2bhip.com/category/cartoons.star-trek-the-animated-series/
.cartoons.teenage-mutant-ninja-turtles,Teenage Mutant Ninja Turtles,www.2bhip.com/category/cartoons.teenage-mutant-ninja-turtles/
.cartoons.the-iron-giant,The Iron Giant,www.2bhip.com/category/cartoons.the-iron-giant/
.cartoons.thundercats,Thundercats,www.2bhip.com/category/cartoons.thundercats/
.cartoons.transformers,Transformers,www.2bhip.com/category/cartoons.transformers/
.cartoons.voltron,Voltron,www.2bhip.com/category/cartoons.voltron/
.cartoons.winnie-the-pooh,Winnie The Pooh,www.2bhip.com/category/cartoons.winnie-the-pooh/
.cartoons.yo-gabba-gabba,Yo Gabba Gabba,www.2bhip.com/category/cartoons.yo-gabba-gabba/
.comics,!Comics,www.2bhip.com/category/comics/
.comics.aquaman,Aquaman,www.2bhip.com/category/comics.aquaman/
.comics.archie-comics,Archie Comics,www.2bhip.com/category/comics.archie-comics/
.comics.avengers--the,"Avengers, The",www.2bhip.com/category/comics.avengers--the/
.comics.axe-cop,Axe Cop,www.2bhip.com/category/comics.axe-cop/
.comics.batman,Batman,www.2bhip.com/category/comics.batman/
.comics.black-lightning,Black Lightning,www.2bhip.com/category/comics.black-lightning/
.comics.captain-america,Captain America,www.2bhip.com/category/comics.captain-america/
.comics.captain-marvel,Captain Marvel,www.2bhip.com/category/comics.captain-marvel/
.comics.catwoman,Catwoman,www.2bhip.com/category/comics.catwoman/
.comics.dark-knight--the,"Dark Knight, The",www.2bhip.com/category/comics.dark-knight--the/
.comics.dc-comics,DC Comics,www.2bhip.com/category/comics.dc-comics/
.comics.fantastic-four,Fantastic Four,www.2bhip.com/category/comics.fantastic-four/
.comics.firestorm,Firestorm,www.2bhip.com/category/comics.firestorm/
.comics.flash,Flash,www.2bhip.com/category/comics.flash/
.comics.four-horsemen-of-the-apocalypse--the,"Four Horsemen Of The Apocalypse, The",www.2bhip.com/category/comics.four-horsemen-of-the-apocalypse--the/
.comics.garfield,Garfield,www.2bhip.com/category/comics.garfield/
.comics.green-arrow,Green Arrow,www.2bhip.com/category/comics.green-arrow/
.comics.green-lantern,Green Lantern,www.2bhip.com/category/comics.green-lantern/
.comics.hawkman,Hawkman,www.2bhip.com/category/comics.hawkman/
.comics.iron-man,Iron Man,www.2bhip.com/category/comics.iron-man/
.comics.justice-league,Justice League,www.2bhip.com/category/comics.justice-league/
.comics.martian-manhunter,Martian Manhunter,www.2bhip.com/category/comics.martian-manhunter/
.comics.marvel-comics,Marvel Comics,www.2bhip.com/category/comics.marvel-comics/
.comics.peanuts,Peanuts,www.2bhip.com/category/comics.peanuts/
