%PRODUCTID,%SKU,zoovy:prod_ugenre,zoovy:prod_type,zoovy:prod_color,zoovy:prod_name
A107-00,A107-00,southpark,buckle,silver,South Park Kenny Face Cartoon Belt Buckle
A44-00,A44-00,atari,buckle,silver,Atari Joystick Controller Retro Gaming Belt Buckle
A56-00,A56-00,"adventuretime,finn,jake",buckle,silver,Adventure Time Finn Face Cartoon Belt Buckle
B53,B53,dodge,buckle,silver,Dodge Belt Buckle cool car
BAG1-00,BAG1-00,"domokun,domo-kun",backpack,brown,Domo Kun Face Japan Cute Kids Mini Backpack
BAG120,BAG120,batman,backpack,black,Batman Dark Knight DC Comics Superhero Kids Mini Backpack
BAG19-00,BAG19-00,domokun,backpack,white,Domo Kun Panda Bear Plush Stuffed Anime Cool Mini Backpack
BAG76,BAG76,"teenagemutantninjaturtles,tmnt",messengerbag,black,Teenage Mutant Ninja Turtles TMNT Cast Warhol Messenger Bag
BCH9,BCH9,marilynmonroe,businesscardholder,silver,Marilyn Monroe Photo Classic Movie Star Metal ID Business Card Holder
CI4-00,CI4-00,hellokitty,cigarettecase,silver,Hello Kitty Sanrio Red Bow ID Stash Business Card Holder
CSL29,CSL29,thewalkingdead,costume,white,The Walking Dead Bloody Zombie Nurse Women's Adult Costume
CSL30,CSL30,batman,costume,red,Robin Batman DC Comics Uniform With Cape Costume Women's T-Shirt
CSL4,CSL4,fridaythe13th,costume,black,Miss Jason Voorhees Friday The 13th Gothic Sexy Adult Women's Costume
CSL52,CSL52,snowwhite,costume,blue,Snow White Sexy Adult Women's Costume
DRT-HOB1031AT,DRT-HOB1031AT,thehobbit,shirt,black,The Hobbit Lord Of The Rings Secret Fire Movie Adult T-Shirt Tee
DRT1873-FAR105AT,DRT1873-FAR105AT,farscape,shirt,black,Farscape Jim Henson Comic Cover Sci Fi TV Show T-Shirt Tee
DRT1906-AXE100AT,DRT1906-AXE100AT,axecop,shirt,black,Axe Cop Badge Logo Comic Book T-Shirt Tee
HAT101-01,HAT101-01,thenightmarebeforechristmas,laplanderhat,black,The Nightmare Before Christmas Jack Skellington Winter Intarsia Knit Pom Beanie Laplander Hat
HAT187-01,HAT187-01,pinkfloyd,baseballcap,black,Pink Floyd Dark Side Of The Moon Flex Fit Baseball Cap Hat
HAT249,HAT249,justiceleague,beanie,black,Justice League of America JLA DC Comics Beanie Hat
HAT258,HAT258,guinness,hat,green,Guinness 1759 Clover Shamrock Irish Alcohol Olive Bottle Opener Hat
HAT327,HAT327,superman,baseballcap,blue,Superman DC Comics Logo Adjustable Youth Kids Baseball Hat Cap
HAT339-FBM,HAT339-FBM,winniethepooh,laplanderhat,orange,Tigger Winnie The Pooh Disney Cartoon Adult Pilot Peruvian Laplander Hat
HAT369,HAT369,domokun,laplanderhat,black,Domo Kun Rasta Face Adult Peruvian Laplander Hat
HD110,HD110,slayer,"hoodie,sweatshirt",black,Slayer Pentagram Logo Metal Band Adult Zip Up Hoodie Hooded Sweatshirt
HD200,HD200,minecraft,"hoodie,sweatshirt",green,Minecraft Creeper Video Game Adult  Zip-Up Hoodie Hooded Sweatshirt
HD210,HD210,mylittlepony,hoodie,blue,Rainbow Dash My Little Pony Mighty Fine Costume Adult Zip Up Hoodie Hooded Sweatshirt
HD211,HD211,breakingbad,hoodie,white,Breaking Bad Heisenberg Sketch TV Show Adult Pullover Hoodie Hooded Sweatshirt
JA2-00,JA2-00,"hellokitty,sanrio",jacket,pink,Hello Kitty Sanrio Leopard Print Girls Toddler Winter Jacket Coat
ON139-00,ON139-00,harleydavidson,snapsuit,orange,Harley Davidson Motorcycles Two Piece Baby Snapsuit Creeper Romper Set
