%PRODUCTID,zoovy:ship_latency
A116,2
HAT380-00-2BHIP,2
HAT380-00,2
DR102-GA105,5
DR140-FF2081,5
DR105-RC107,5
DR103-MM108,5
DR136-FF2059,5
DR131-MM116,5
DR137-FF2082,5
DR104-RC104,5
DR114-MM109,5
DR89-MM107R,5
DR88-MM107G,5
DR87-MM107B,5
TS1048,5
TS1052,5
TS1049,5
TS1061,5
TS203-EBAY,5
TS241-EBAY,5
TS53-EBAY,5
TS575-EBAY,5
TS604-00-EBAY,5
AMZBAT-BM288SS,6
AMZSUPES-BM288SS,6
AMZGL-DCO262BSS,6
DRT-AC175AT,6
DRT-ATA2701AT,6
DRT-ATA2705AT,6
DRT-ATA2707AT,6
DRT-ALI173KT,6
DRT-BB586JS,6
DRT-ATA527BJS,6
DRT-ATJ200JS,6
DRT-ATA2708AT,6
DRT-ATA2705JS,6
DRT-ATA2702JS,6
DRT-ATA2708JS,6
DRT-AC174AT,6
DRT-AC176AT,6
DRT-AAC102AT,6
DRT-AAC108AT,6
DRT-ALI173AT,6
DRT-AAC103JS,6
DRT-AAC100JS,6
DRT-AAC105AT,6
DRT-AAC107JS,6
DRT-ATA2292AT,6
DRT-ATA2701JS,6
DRT-AC173AT,6
DRT-AC173JS,6
DRT-ATA2704JS,6
DRT-AAC104AT,6
DRT-ATA2699AT,6
DRT-AC176JS,6
DRT-ATA2697AT,6
DRT-ATA2700JS,6
DRT-ATA2702AT,6
DRT-AAC106AT,6
DRT-ATJ200AT,6
DRT-ATA2700AT,6
DRT-ALI173YT,6
DRT-ATA2706JS,6
DRT-AAC105JS,6
DRT-AAC101AT,6
DRT-AC177JS,6
DRT-ATA2292JS,6
DRT-ATA527BAT,6
DRT-AC177AT,6
DRT-ATA2707JS,6
DRT-AAC100AT,6
DRT-AAC104JS,6
DRT-AAC106JS,6
DRT-AC174JS,6
DRT-ATA2703JS,6
DRT-BB483AT,6
DRT-AAC101JS,6
DRT-AAC103AT,6
DRT-ATA2704AT,6
DRT-BB483JS,6
DRT-AAC107AT,6
DRT-AC175JS,6
DRT-ATA2703AT,6
DRT-ALI173JS,6
DRT-ATA2706AT,6
DRT-ATA2698AT,6
DRT-BB586AT,6
DRT-BM2276AT,6
DRT-BM2170JS,6
DRT-CN126AT,6
DRT-BM1907AT,6
DRT-DCO137CAT,6
DRT-CBS1198JS,6
DRT-CN115AT,6
DRT-CBS1096AT,6
DRT-DCO138JS,6
DRT-CN113AT,6
DRT-CBS1174AT,6
DRT-CN137AT,6
DRT-BM2079JS,6
DRT-CN120AT,6
DRT-BB752JS,6
DRT-CBS1173JS,6
DRT-CN117AT,6
DRT-BM2172JS,6
DRT-CN133AT,6
DRT-CBS1198YT,6
